Time 1s	hr 55.85884263581343
Time 2s	hr 57.171181379575664
Time 3s	hr 56.259796488224914
Time 4s	hr 49.19791353054518
Time 5s	hr 46.2276508844673
Time 6s	hr 43.95184786937318
Time 7s	hr 44.07063359940767
Time 8s	hr 42.007892792963894
Time 9s	hr 44.70459110402848
Time 10s	hr 42.157550847714816
Time 11s	hr 49.979927852723534
Time 12s	hr 60.54548725836327
Time 13s	hr 63.44261927599997
Time 14s	hr 63.59417015707489
Time 15s	hr 68.06120804938513
Time 16s	hr 58.57645807512377
Time 17s	hr 57.69947820865554
Time 18s	hr 59.95004422764265
Time 19s	hr 61.486618684252264
Time 20s	hr 56.44959931499252
Time 21s	hr 54.84692760816707
Time 22s	hr 57.58228953037081
Time 23s	hr 60.52940700740934
Time 24s	hr 68.4520466374706
Time 25s	hr 69.60525939870824
Time 26s	hr 72.98031377045427
Time 27s	hr 69.7450777252869
Time 28s	hr 71.38385383481696
Time 29s	hr 76.57184693326171
Time 30s	hr 77.12528194378676
Time 31s	hr 69.24765258326848
Time 32s	hr 62.427978272107644
Time 33s	hr 63.495310301053316
Time 34s	hr 57.67986523334621
Time 35s	hr 56.94145589124591
Time 36s	hr 53.59847187183658
Time 37s	hr 48.62769142790674
Time 38s	hr 40.22471851859375
Time 39s	hr 37.34586815584903
Time 40s	hr 39.15400932650711
Time 41s	hr 39.516413065329836
Time 42s	hr 42.39609641239772
Time 43s	hr 44.41703983589679
Time 44s	hr 39.99746549393404
Time 45s	hr 43.66147263481263
Time 46s	hr 43.01258727522529
Time 47s	hr 43.0520151679592
Time 48s	hr 43.22044465337218
Time 49s	hr 40.243636045781464
Time 50s	hr 44.98060709318517
Time 51s	hr 43.83904257534923
Time 52s	hr 42.48717709176314
Time 53s	hr 42.836558870687156
Time 54s	hr 44.19190617241705
Time 55s	hr 49.963480859115116
Time 56s	hr 52.96608883679899
Time 57s	hr 53.344294400403875
Time 58s	hr 54.077849699885846
Time 59s	hr 51.138865736121375
Time 60s	hr 53.47749558916455
