Time 1s	hr 55.85610406327298
Time 2s	hr 49.51684199325309
Time 3s	hr 45.78855262853944
Time 4s	hr 51.1693856976666
Time 5s	hr 55.159192493937695
Time 6s	hr 60.674138896610124
Time 7s	hr 58.6752306425531
Time 8s	hr 53.710936134060496
Time 9s	hr 55.79796227436024
Time 10s	hr 58.65156245562965
Time 11s	hr 58.65156245562965
Time 12s	hr 54.942341370319426
Time 13s	hr 49.2412451704013
Time 14s	hr 54.48140752353144
Time 15s	hr 55.85289175761309
Time 16s	hr 60.18323923981135
Time 17s	hr 61.35317285888394
Time 18s	hr 63.60518799249588
Time 19s	hr 62.089985546590285
Time 20s	hr 72.29332583196424
Time 21s	hr 63.40806558626005
Time 22s	hr 62.51107039222364
Time 23s	hr 51.67853162687419
Time 24s	hr 48.805458514036
Time 25s	hr 44.33586427077654
Time 26s	hr 40.362428597462305
Time 27s	hr 37.06071242672248
Time 28s	hr 37.72273388220749
Time 29s	hr 36.694668980143334
Time 30s	hr 41.49303225374449
Time 31s	hr 48.10232615433515
Time 32s	hr 53.24687047342691
Time 33s	hr 53.06664996311969
Time 34s	hr 53.11195620839569
Time 35s	hr 58.166822814066634
Time 36s	hr 59.73279133125914
Time 37s	hr 61.06730007298801
Time 38s	hr 55.92719927471121
Time 39s	hr 56.3218594323959
Time 40s	hr 58.42798721361915
Time 41s	hr 53.53908045023126
Time 42s	hr 54.37379831781716
Time 43s	hr 55.92759025889663
Time 44s	hr 56.333614708002145
Time 45s	hr 55.32132608537914
Time 46s	hr 59.649043585025616
Time 47s	hr 63.992529464708525
Time 48s	hr 60.86057152438357
Time 49s	hr 53.51902949929873
Time 50s	hr 55.49844696845892
Time 51s	hr 58.563379778539954
Time 52s	hr 62.6904647332959
Time 53s	hr 56.0104723817444
Time 54s	hr 57.39212617811939
Time 55s	hr 51.35065048436504
Time 56s	hr 52.909183087882056
Time 57s	hr 49.72696580641202
Time 58s	hr 43.51911703110182
Time 59s	hr 44.823980231770584
Time 60s	hr 43.39266995108527
