Time 1s	hr 56.809046583976226
Time 2s	hr 62.96717930229744
Time 3s	hr 56.200687994252796
Time 4s	hr 50.77603860845638
Time 5s	hr 47.4601556455814
Time 6s	hr 48.02698732471861
Time 7s	hr 47.80578660164263
Time 8s	hr 43.448366054885135
Time 9s	hr 41.99679158511347
Time 10s	hr 39.42276270975901
Time 11s	hr 46.62206376994337
Time 12s	hr 47.23163362502729
Time 13s	hr 48.343055860441005
Time 14s	hr 50.5128296994941
Time 15s	hr 51.71645736836779
Time 16s	hr 49.521236423946824
Time 17s	hr 44.93719577518426
Time 18s	hr 46.41689785505267
Time 19s	hr 43.849912024547656
Time 20s	hr 38.31354453657706
Time 21s	hr 38.552174789220444
Time 22s	hr 39.20689777930515
Time 23s	hr 37.18395405292811
Time 24s	hr 43.19852404220036
Time 25s	hr 45.39183594543176
Time 26s	hr 49.49753913703358
Time 27s	hr 55.71461045087274
Time 28s	hr 51.64992956079443
Time 29s	hr 53.94666339630022
Time 30s	hr 51.04105515982389
Time 31s	hr 53.03786176269103
Time 32s	hr 51.97865281282022
Time 33s	hr 50.37222186046242
Time 34s	hr 50.21413188867195
Time 35s	hr 48.65036700215107
Time 36s	hr 42.28444364681195
Time 37s	hr 42.5994199165992
Time 38s	hr 43.83433223253161
Time 39s	hr 43.70060352354305
Time 40s	hr 47.005441148415834
Time 41s	hr 50.448445692847166
Time 42s	hr 50.12219732037448
Time 43s	hr 41.81542504124988
Time 44s	hr 43.11768675910044
Time 45s	hr 45.026063899912636
Time 46s	hr 49.76037528445522
Time 47s	hr 49.33836662987649
Time 48s	hr 50.17730808896847
Time 49s	hr 49.595308482197865
Time 50s	hr 51.22718565269945
Time 51s	hr 55.29331166572819
Time 52s	hr 51.53744741529529
Time 53s	hr 55.212556494810734
Time 54s	hr 59.41497637660556
Time 55s	hr 48.681749795023435
Time 56s	hr 48.127494407929184
Time 57s	hr 51.90800469771757
Time 58s	hr 56.102772882665974
Time 59s	hr 51.1944273159365
Time 60s	hr 57.973838966982896
