Time 1s	hr 76.48852493073413
Time 2s	hr 63.38944838470354
Time 3s	hr 65.03184414312167
Time 4s	hr 58.832499204933605
Time 5s	hr 57.011815635443725
Time 6s	hr 57.909390570686995
Time 7s	hr 61.76897702543777
Time 8s	hr 57.05432754274327
Time 9s	hr 57.05136245415151
Time 10s	hr 63.02170667146367
Time 11s	hr 67.71729294252327
Time 12s	hr 68.37464322253521
Time 13s	hr 69.73441163301813
Time 14s	hr 68.7832438015193
Time 15s	hr 71.05538455012686
Time 16s	hr 69.50961775618688
Time 17s	hr 70.74546045942711
Time 18s	hr 68.95902846341657
Time 19s	hr 62.01663652089928
Time 20s	hr 60.58617188618305
Time 21s	hr 57.674851190875835
Time 22s	hr 58.5587208797384
Time 23s	hr 65.85868964397723
Time 24s	hr 64.03426635812902
Time 25s	hr 68.46077888201208
Time 26s	hr 70.99150347870743
Time 27s	hr 69.18413404446481
Time 28s	hr 72.32938222027695
Time 29s	hr 76.07235393727225
Time 30s	hr 73.36416108967654
Time 31s	hr 67.99823909287056
Time 32s	hr 69.99063800983915
Time 33s	hr 68.08666495741403
Time 34s	hr 63.21653572625477
Time 35s	hr 59.076721428381546
Time 36s	hr 62.56367613650037
Time 37s	hr 60.22916192292003
Time 38s	hr 64.21948679317947
Time 39s	hr 63.135825996540774
Time 40s	hr 62.150815354992076
Time 41s	hr 57.34805028735592
Time 42s	hr 56.8864113943717
Time 43s	hr 57.31391887305993
Time 44s	hr 57.274702295375945
Time 45s	hr 62.965004428328925
Time 46s	hr 61.80235187613956
Time 47s	hr 63.36932950644466
Time 48s	hr 60.54676514073328
Time 49s	hr 63.0283004422279
Time 50s	hr 65.47464844429132
Time 51s	hr 63.81575681942439
Time 52s	hr 59.478047748516865
Time 53s	hr 62.123300483812876
Time 54s	hr 59.75446425879523
Time 55s	hr 59.10904153573108
Time 56s	hr 58.029271146450284
Time 57s	hr 58.67117672727196
Time 58s	hr 61.30058461985161
Time 59s	hr 60.0191791286981
Time 60s	hr 66.11530979447518
