Time 1s	hr 72.79830445954036
Time 2s	hr 67.21731635394032
Time 3s	hr 73.12041634006803
Time 4s	hr 64.62482381657647
Time 5s	hr 58.90309551106505
Time 6s	hr 52.93572895592626
Time 7s	hr 56.34121878076166
Time 8s	hr 59.164391130233845
Time 9s	hr 49.29733515156488
Time 10s	hr 49.702067685752844
Time 11s	hr 56.660017263893174
Time 12s	hr 61.86180717702077
Time 13s	hr 63.94610451788635
Time 14s	hr 70.38634792652432
Time 15s	hr 58.181291611747
Time 16s	hr 55.77788132100626
Time 17s	hr 53.940020719711455
Time 18s	hr 49.532166111276595
Time 19s	hr 50.74135046025928
Time 20s	hr 42.98202200516749
Time 21s	hr 37.19673578804995
Time 22s	hr 37.89021554227853
Time 23s	hr 41.421644979993346
Time 24s	hr 38.39052378548198
Time 25s	hr 41.916463073940996
Time 26s	hr 47.9960489652483
Time 27s	hr 51.14984968657643
Time 28s	hr 53.59931662402871
Time 29s	hr 51.885089055567704
Time 30s	hr 59.05173994256801
Time 31s	hr 58.86758776127239
Time 32s	hr 55.46503057699983
Time 33s	hr 58.603401820037604
Time 34s	hr 52.02720198900137
Time 35s	hr 44.40817588775947
Time 36s	hr 41.890700459989674
Time 37s	hr 46.15436746151152
Time 38s	hr 38.54527725275472
Time 39s	hr 32.72581922488754
Time 40s	hr 39.391907646879595
Time 41s	hr 39.391907646879595
Time 42s	hr 37.70418276001473
Time 43s	hr 36.93755000228287
Time 44s	hr 40.963057875882626
Time 45s	hr 42.79712193158917
Time 46s	hr 42.75306256219419
Time 47s	hr 44.36466582105826
Time 48s	hr 40.43609065762686
Time 49s	hr 36.608985718256356
Time 50s	hr 37.43652450088462
Time 51s	hr 42.108138331130455
Time 52s	hr 46.09033316825542
Time 53s	hr 44.74229651640635
Time 54s	hr 53.705302223793275
Time 55s	hr 53.91195416378903
Time 56s	hr 57.19264265742836
Time 57s	hr 54.51778594306356
Time 58s	hr 57.447173972450074
Time 59s	hr 57.07485411509045
Time 60s	hr 59.14740931760001
