Time 1s	hr 59.96137213455253
Time 2s	hr 55.90764661410105
Time 3s	hr 50.87141030132465
Time 4s	hr 44.10437868271602
Time 5s	hr 46.794097913909624
Time 6s	hr 55.08253822539595
Time 7s	hr 56.52216304666115
Time 8s	hr 56.33427850125482
Time 9s	hr 56.516198136988145
Time 10s	hr 58.01296007379856
Time 11s	hr 60.393124210602615
Time 12s	hr 62.12130786018957
Time 13s	hr 73.22783236795793
Time 14s	hr 71.34837785949794
Time 15s	hr 76.3929182321832
Time 16s	hr 74.60403062969891
Time 17s	hr 75.83491875710048
Time 18s	hr 76.32573913076884
Time 19s	hr 77.29594218104563
Time 20s	hr 78.87792231830788
Time 21s	hr 77.52988653782762
Time 22s	hr 69.15835921960213
Time 23s	hr 69.8747956943008
Time 24s	hr 71.76877249801313
Time 25s	hr 70.14077615104732
Time 26s	hr 73.19028705118639
Time 27s	hr 77.88371176505916
Time 28s	hr 76.12966993272981
Time 29s	hr 71.11274311264852
Time 30s	hr 75.32422449343109
Time 31s	hr 76.98888514672969
Time 32s	hr 76.58512880376655
Time 33s	hr 73.13069265309083
Time 34s	hr 71.16133942008064
Time 35s	hr 63.67444056591989
Time 36s	hr 61.25126284791672
Time 37s	hr 61.895192274898264
Time 38s	hr 63.40887894570273
Time 39s	hr 62.598002389244435
Time 40s	hr 63.03994832069514
Time 41s	hr 68.92110525894914
Time 42s	hr 71.03561684929872
Time 43s	hr 76.71206955739385
Time 44s	hr 76.39537586429645
Time 45s	hr 65.29039732340834
Time 46s	hr 67.61940742108284
Time 47s	hr 67.0445303167521
Time 48s	hr 64.14322240796562
Time 49s	hr 62.31629746933981
Time 50s	hr 48.80483070214354
Time 51s	hr 51.063666818085466
Time 52s	hr 49.36707414563259
Time 53s	hr 50.192821100059874
Time 54s	hr 49.20545145790818
Time 55s	hr 50.70253217318595
Time 56s	hr 49.61715352654409
Time 57s	hr 52.006500162439565
Time 58s	hr 56.99019037351534
Time 59s	hr 57.40783652901696
Time 60s	hr 63.59431170503863
