Time 1s	hr 60.49212887509249
Time 2s	hr 57.04062284219358
Time 3s	hr 55.253406395525886
Time 4s	hr 55.02602741286594
Time 5s	hr 53.339074988427214
Time 6s	hr 57.20687254127601
Time 7s	hr 57.59230259678312
Time 8s	hr 60.2615804553611
Time 9s	hr 62.85298498253591
Time 10s	hr 65.24810685064764
Time 11s	hr 72.33123728458267
Time 12s	hr 72.26737351457668
Time 13s	hr 74.07916053824454
Time 14s	hr 72.81625713556248
Time 15s	hr 68.40343541951772
Time 16s	hr 69.38640195992564
Time 17s	hr 69.1078519755047
Time 18s	hr 69.11990670069318
Time 19s	hr 69.60076274843142
Time 20s	hr 68.77450378257699
Time 21s	hr 72.18658210249227
Time 22s	hr 69.5612779684169
Time 23s	hr 75.85334539485878
Time 24s	hr 68.60448417203125
Time 25s	hr 78.84513469114422
Time 26s	hr 77.95271485757706
Time 27s	hr 72.25740056738552
Time 28s	hr 70.2081225117278
Time 29s	hr 69.77691691669558
Time 30s	hr 65.26202549971273
Time 31s	hr 67.10670225951908
Time 32s	hr 60.33247234537906
Time 33s	hr 64.79361080570827
Time 34s	hr 62.68424466613476
Time 35s	hr 63.154774890961605
Time 36s	hr 65.62033104509067
Time 37s	hr 64.52572879552186
Time 38s	hr 75.14113896752508
Time 39s	hr 76.63188914152235
Time 40s	hr 70.19328508062468
Time 41s	hr 75.13039306593768
Time 42s	hr 72.58764289743483
Time 43s	hr 68.2184545927728
Time 44s	hr 66.10695973871722
Time 45s	hr 68.06602704113418
Time 46s	hr 71.51528913447102
Time 47s	hr 66.21559426685877
Time 48s	hr 62.46545385669375
Time 49s	hr 62.00811930180288
Time 50s	hr 58.104675831754
Time 51s	hr 56.61482653190996
Time 52s	hr 55.599617680555156
Time 53s	hr 58.522147365291765
Time 54s	hr 59.4043238031131
Time 55s	hr 56.83300420533808
Time 56s	hr 59.285756039826175
Time 57s	hr 61.98985577336932
Time 58s	hr 59.84958137711556
Time 59s	hr 59.60707414106702
Time 60s	hr 63.13643233741223
