Time 1s	hr 64.71217351818756
Time 2s	hr 71.6736176320262
Time 3s	hr 69.33618471739825
Time 4s	hr 62.82698895404332
Time 5s	hr 65.89995437965958
Time 6s	hr 65.70608459369383
Time 7s	hr 63.53605060926075
Time 8s	hr 67.47608200624613
Time 9s	hr 64.96269657901463
Time 10s	hr 64.44772820206694
Time 11s	hr 63.58551199022505
Time 12s	hr 62.689303411923035
Time 13s	hr 65.24656335229204
Time 14s	hr 63.777088964220496
Time 15s	hr 63.157507149193876
Time 16s	hr 59.39256844548364
Time 17s	hr 57.859067291052014
Time 18s	hr 57.46858298991682
Time 19s	hr 58.03230507969913
Time 20s	hr 60.71517681792951
Time 21s	hr 65.48291598743037
Time 22s	hr 65.8268963272694
Time 23s	hr 73.91788831377077
Time 24s	hr 73.51738785777914
Time 25s	hr 77.02574747149663
Time 26s	hr 72.96865081299315
Time 27s	hr 74.96161454233668
Time 28s	hr 76.1567149919473
Time 29s	hr 78.70395334397676
Time 30s	hr 75.51146352637743
Time 31s	hr 77.86486474858347
Time 32s	hr 77.17074720211782
Time 33s	hr 80.67120260843728
Time 34s	hr 80.31255211569894
Time 35s	hr 78.76887559773355
Time 36s	hr 80.25095722673507
Time 37s	hr 81.30979234157198
Time 38s	hr 85.70814971043205
Time 39s	hr 84.18277356914552
Time 40s	hr 77.35711313912279
Time 41s	hr 77.08126150679139
Time 42s	hr 70.11509488437176
Time 43s	hr 75.61378831040695
Time 44s	hr 71.18630071846239
Time 45s	hr 65.5677400837569
Time 46s	hr 65.64185939362712
Time 47s	hr 63.72780308839474
Time 48s	hr 64.73705641899032
Time 49s	hr 66.21403341989877
Time 50s	hr 65.82955528575685
Time 51s	hr 66.82996331936212
Time 52s	hr 70.1866512964976
Time 53s	hr 74.44037586434517
Time 54s	hr 79.5031355730876
Time 55s	hr 79.53789279663633
Time 56s	hr 73.43864993323116
Time 57s	hr 72.63737686973712
Time 58s	hr 77.15547647214252
Time 59s	hr 78.6196185758259
Time 60s	hr 77.96384679986926
