Time 1s	hr 82.86420397244945
Time 2s	hr 78.73010699323399
Time 3s	hr 77.2800007161319
Time 4s	hr 70.3488775644747
Time 5s	hr 68.7884850077256
Time 6s	hr 67.39961577052237
Time 7s	hr 70.0708382200706
Time 8s	hr 70.97981072937914
Time 9s	hr 68.07957152698346
Time 10s	hr 68.74063344425012
Time 11s	hr 70.3627786529961
Time 12s	hr 62.83223328753805
Time 13s	hr 66.91484191937586
Time 14s	hr 69.91681995929454
Time 15s	hr 69.91222372013215
Time 16s	hr 67.48039295836931
Time 17s	hr 65.98822413745236
Time 18s	hr 63.12871332298243
Time 19s	hr 63.58900610945541
Time 20s	hr 66.77759369308933
Time 21s	hr 73.17281980973796
Time 22s	hr 70.9683951499581
Time 23s	hr 70.41444190814978
Time 24s	hr 69.37107416872367
Time 25s	hr 77.3444122615268
Time 26s	hr 80.05352912647272
Time 27s	hr 78.03709727529964
Time 28s	hr 78.79381896633751
Time 29s	hr 76.80447309250721
Time 30s	hr 77.38871972347074
Time 31s	hr 75.70178392515207
Time 32s	hr 78.27001950064461
Time 33s	hr 76.27035102178567
Time 34s	hr 74.33718871805473
Time 35s	hr 69.08491864816222
Time 36s	hr 76.47288773254105
Time 37s	hr 75.63479856693858
Time 38s	hr 72.20910338415905
Time 39s	hr 70.867142597514
Time 40s	hr 69.87293152170439
Time 41s	hr 68.75519982685157
Time 42s	hr 65.92915674762845
Time 43s	hr 69.84260387196142
Time 44s	hr 61.14082114704814
Time 45s	hr 55.762771621239125
Time 46s	hr 56.36602263202036
Time 47s	hr 56.20016508903231
Time 48s	hr 55.96911549582049
Time 49s	hr 53.186076452506626
Time 50s	hr 55.47903173463465
Time 51s	hr 58.03676269949246
Time 52s	hr 60.564443962509635
Time 53s	hr 63.295523189928545
Time 54s	hr 69.82757550839275
Time 55s	hr 69.03251629201377
Time 56s	hr 68.48662753977014
Time 57s	hr 76.36401578550324
Time 58s	hr 69.44633405113261
Time 59s	hr 69.19012559621929
Time 60s	hr 67.7472670547152
