Time 1s	hr 51.580290616470336
Time 2s	hr 50.74115429457551
Time 3s	hr 43.32409481395916
Time 4s	hr 46.772370665293096
Time 5s	hr 52.08238447999716
Time 6s	hr 45.12307714117328
Time 7s	hr 43.5801178157014
Time 8s	hr 42.38586095679767
Time 9s	hr 45.37172536054063
Time 10s	hr 47.45173559694208
Time 11s	hr 50.10818461450394
Time 12s	hr 53.44523510024439
Time 13s	hr 42.11111241603555
Time 14s	hr 45.79807403221931
Time 15s	hr 40.33236603248842
Time 16s	hr 42.78447444597239
Time 17s	hr 44.64038929990578
Time 18s	hr 45.12021152355186
Time 19s	hr 43.55431816124765
Time 20s	hr 45.1864932106401
Time 21s	hr 50.22137041995345
Time 22s	hr 50.63977386013604
Time 23s	hr 52.1529928907695
Time 24s	hr 52.1529928907695
Time 25s	hr 47.68135558184974
Time 26s	hr 47.86908925593099
Time 27s	hr 41.33736232987638
Time 28s	hr 30.06275110773888
Time 29s	hr 30.449957499470663
Time 30s	hr 25.090687152375693
Time 31s	hr 29.31069596635331
Time 32s	hr 26.765023966295093
Time 33s	hr 30.766219781854172
Time 34s	hr 28.537260298161076
Time 35s	hr 36.42813403076241
Time 36s	hr 37.865287373929
Time 37s	hr 37.22239422070202
Time 38s	hr 39.79475879680335
Time 39s	hr 37.477554458399254
Time 40s	hr 38.967219566914245
Time 41s	hr 37.6607624180713
Time 42s	hr 41.212982327549234
Time 43s	hr 43.77300681880015
Time 44s	hr 37.91392527923407
Time 45s	hr 37.09123870838119
Time 46s	hr 37.06681954011242
Time 47s	hr 37.21033113835117
Time 48s	hr 38.03237279652676
Time 49s	hr 44.21076877695009
Time 50s	hr 50.483061371087494
Time 51s	hr 48.55257785967132
Time 52s	hr 48.0009397212522
Time 53s	hr 51.89618336562362
Time 54s	hr 51.89618336562362
Time 55s	hr 53.71685943153499
Time 56s	hr 51.422534239400946
Time 57s	hr 58.84232838191167
Time 58s	hr 55.27142333610634
Time 59s	hr 53.958425418632636
Time 60s	hr 44.52946462192997
