Time 1s	hr 67.86382526259655
Time 2s	hr 64.05868724769722
Time 3s	hr 63.12199659293894
Time 4s	hr 59.72220415809747
Time 5s	hr 57.2994653737019
Time 6s	hr 59.47523152881287
Time 7s	hr 57.71045072353394
Time 8s	hr 57.333221030999155
Time 9s	hr 57.023956084706604
Time 10s	hr 57.145581989334104
Time 11s	hr 63.07325507603158
Time 12s	hr 70.38696020560072
Time 13s	hr 72.1554540717054
Time 14s	hr 75.28937077525696
Time 15s	hr 73.86833889484389
Time 16s	hr 70.33921341448503
Time 17s	hr 65.1226237297317
Time 18s	hr 66.82117454622806
Time 19s	hr 66.84419742790396
Time 20s	hr 61.58522272434315
Time 21s	hr 59.42672687327696
Time 22s	hr 57.09814174520657
Time 23s	hr 56.1081049404423
Time 24s	hr 61.820080006857566
Time 25s	hr 60.996669104056764
Time 26s	hr 60.86212416116494
Time 27s	hr 57.0968503738427
Time 28s	hr 60.156845606727735
Time 29s	hr 63.47216547193187
Time 30s	hr 67.64858797102094
Time 31s	hr 68.60924670103067
Time 32s	hr 63.75512591212154
Time 33s	hr 63.9279612378719
Time 34s	hr 60.46349365971334
Time 35s	hr 64.15275998182231
Time 36s	hr 62.83685463212227
Time 37s	hr 60.436128254129706
Time 38s	hr 56.94537239916801
Time 39s	hr 58.00020263552476
Time 40s	hr 56.95119197421246
Time 41s	hr 65.36220197328105
Time 42s	hr 69.58501950926996
Time 43s	hr 75.62821919524698
Time 44s	hr 73.53598543613262
Time 45s	hr 70.93655380243352
Time 46s	hr 69.74062194686734
Time 47s	hr 71.88340296389262
Time 48s	hr 65.48501666107768
Time 49s	hr 62.514004149889736
Time 50s	hr 57.29678237186131
Time 51s	hr 51.49160450843289
Time 52s	hr 50.881976058236816
Time 53s	hr 49.86180385546267
Time 54s	hr 50.26114434070792
Time 55s	hr 51.431655858446135
Time 56s	hr 50.67756484883201
Time 57s	hr 46.018385221435885
Time 58s	hr 45.82457892939975
Time 59s	hr 46.206770169757135
Time 60s	hr 46.73236926235784
