Time 1s	hr 61.31610801863445
Time 2s	hr 60.82853020275965
Time 3s	hr 61.24423481223385
Time 4s	hr 56.95639336253945
Time 5s	hr 51.18585187955431
Time 6s	hr 47.75855512359206
Time 7s	hr 48.56063299351747
Time 8s	hr 47.793097399977874
Time 9s	hr 42.37344479620972
Time 10s	hr 39.76361151499479
Time 11s	hr 41.31343962684726
Time 12s	hr 50.28305220515413
Time 13s	hr 53.556726771744735
Time 14s	hr 56.131445125571744
Time 15s	hr 55.59721285406314
Time 16s	hr 57.825357910053064
Time 17s	hr 64.17847053339348
Time 18s	hr 65.00458536928006
Time 19s	hr 61.97320338363417
Time 20s	hr 63.80069343910037
Time 21s	hr 54.696980651711165
Time 22s	hr 47.57367391291056
Time 23s	hr 44.72187386780941
Time 24s	hr 44.50225287092154
Time 25s	hr 43.422335733032455
Time 26s	hr 44.70380361355141
Time 27s	hr 39.0102871687686
Time 28s	hr 37.65659219284054
Time 29s	hr 37.04130898224042
Time 30s	hr 39.50086834429716
Time 31s	hr 42.20773069291833
Time 32s	hr 41.22493575437331
Time 33s	hr 46.4464347036609
Time 34s	hr 49.68891838570272
Time 35s	hr 50.959032536820715
Time 36s	hr 54.39484695856816
Time 37s	hr 57.106109555595644
Time 38s	hr 57.374409940052516
Time 39s	hr 56.97086301172476
Time 40s	hr 61.08846635196027
Time 41s	hr 63.315531081336374
Time 42s	hr 60.48091703585724
Time 43s	hr 56.16503787471863
Time 44s	hr 56.3998161240674
Time 45s	hr 58.770601299654615
Time 46s	hr 61.60877452703279
Time 47s	hr 60.994320879777476
Time 48s	hr 62.551806579055906
Time 49s	hr 59.46620753468597
Time 50s	hr 56.48137359353599
Time 51s	hr 61.05769360690905
Time 52s	hr 65.05693262287744
Time 53s	hr 67.34829948605201
Time 54s	hr 67.87767136346727
Time 55s	hr 62.50718832665819
Time 56s	hr 60.828233852796075
Time 57s	hr 61.506540520093665
Time 58s	hr 63.84208634406178
Time 59s	hr 64.59250585044214
Time 60s	hr 64.61083531677245
