Time 1s	hr 74.21114480709409
Time 2s	hr 72.6730146141211
Time 3s	hr 65.41861826305492
Time 4s	hr 71.98082090658156
Time 5s	hr 73.34341316308269
Time 6s	hr 73.30758892989655
Time 7s	hr 79.78858806534195
Time 8s	hr 76.04736229724242
Time 9s	hr 75.4734370085414
Time 10s	hr 71.85665511843648
Time 11s	hr 73.77944484545498
Time 12s	hr 75.72003124209094
Time 13s	hr 64.96844001019953
Time 14s	hr 63.71029428458022
Time 15s	hr 59.705354077631284
Time 16s	hr 56.19860154931994
Time 17s	hr 47.105831190468386
Time 18s	hr 46.200697214722865
Time 19s	hr 45.50251810935289
Time 20s	hr 48.01062379083269
Time 21s	hr 51.06264665484755
Time 22s	hr 50.501264504318044
Time 23s	hr 51.20991533208592
Time 24s	hr 60.6421414551309
Time 25s	hr 61.677959369909864
Time 26s	hr 66.40109314711006
Time 27s	hr 70.58163836430211
Time 28s	hr 79.96750831284069
Time 29s	hr 84.45779137417875
Time 30s	hr 89.71110972129495
Time 31s	hr 92.13846836666153
Time 32s	hr 91.91494868776138
Time 33s	hr 88.89443044539286
Time 34s	hr 91.19089445891589
Time 35s	hr 85.20469728627127
Time 36s	hr 82.52931790534284
Time 37s	hr 83.71607942810272
Time 38s	hr 80.50804422401032
Time 39s	hr 76.66148167897228
Time 40s	hr 73.3369038898896
Time 41s	hr 74.62956991061934
Time 42s	hr 76.89001063388999
Time 43s	hr 65.95070435462243
Time 44s	hr 71.05394514201289
Time 45s	hr 72.78222631567237
Time 46s	hr 72.77398259774088
Time 47s	hr 68.62704321424056
Time 48s	hr 69.87052851325467
Time 49s	hr 71.60400721324451
Time 50s	hr 71.72859880529626
Time 51s	hr 77.09212281682892
Time 52s	hr 82.06651048778109
Time 53s	hr 85.84552863599605
Time 54s	hr 86.78701215005628
Time 55s	hr 88.39729702112389
Time 56s	hr 90.65169112240625
Time 57s	hr 88.33785139377412
Time 58s	hr 88.88424759489332
Time 59s	hr 92.61172234419234
Time 60s	hr 92.60035215914162
