Time 1s	hr 91.58354524112467
Time 2s	hr 87.69630543921943
Time 3s	hr 84.37353937726836
Time 4s	hr 92.34307898736785
Time 5s	hr 84.38106827959423
Time 6s	hr 88.37551412455481
Time 7s	hr 86.32892712088055
Time 8s	hr 81.74468477195505
Time 9s	hr 80.05709138043346
Time 10s	hr 81.72084143801364
Time 11s	hr 82.58051540036351
Time 12s	hr 81.48615536639254
Time 13s	hr 70.1966386531043
Time 14s	hr 76.03417275252035
Time 15s	hr 74.19734165970382
Time 16s	hr 73.19211808718634
Time 17s	hr 74.33034273833523
Time 18s	hr 70.76045413073062
Time 19s	hr 72.89517535081484
Time 20s	hr 74.69373080578916
Time 21s	hr 76.52834193662552
Time 22s	hr 80.62751860211254
Time 23s	hr 79.9821988336952
Time 24s	hr 81.58133913887279
Time 25s	hr 83.54093255071987
Time 26s	hr 80.87044383824772
Time 27s	hr 83.91877068604641
Time 28s	hr 75.97838554224604
Time 29s	hr 73.33450464833321
Time 30s	hr 72.3046637198233
Time 31s	hr 74.43104829152907
Time 32s	hr 78.34077374831321
Time 33s	hr 71.01887934682613
Time 34s	hr 67.24640060328841
Time 35s	hr 70.65653182220248
Time 36s	hr 78.49261824495947
Time 37s	hr 77.15791809289709
Time 38s	hr 79.49680965543011
Time 39s	hr 80.43297247824316
Time 40s	hr 76.8471386496203
Time 41s	hr 69.95366724839937
Time 42s	hr 74.38262806118546
Time 43s	hr 77.11999657244236
Time 44s	hr 71.2442069958972
Time 45s	hr 70.9410627562364
Time 46s	hr 75.12180139325072
Time 47s	hr 71.89665679129645
Time 48s	hr 71.10126169511949
Time 49s	hr 74.3296057999538
Time 50s	hr 77.29485443752371
Time 51s	hr 77.27369392565765
Time 52s	hr 78.1314787408892
Time 53s	hr 78.42049704414087
Time 54s	hr 75.93030121424023
Time 55s	hr 74.58036271289457
Time 56s	hr 76.49424414279187
Time 57s	hr 71.16700265579108
Time 58s	hr 66.8799073062329
Time 59s	hr 64.66365673151324
Time 60s	hr 62.993805157704536
