Time 1s	hr 60.63336399360479
Time 2s	hr 56.676917106956374
Time 3s	hr 62.000792705969964
Time 4s	hr 55.85562553759977
Time 5s	hr 48.961632410202576
Time 6s	hr 46.42051415361585
Time 7s	hr 50.756145493295534
Time 8s	hr 52.713811337051894
Time 9s	hr 53.2616943817366
Time 10s	hr 53.76212932440145
Time 11s	hr 56.85928514653594
Time 12s	hr 59.68298843545666
Time 13s	hr 63.50927409464233
Time 14s	hr 67.65056521201741
Time 15s	hr 49.5738594890736
Time 16s	hr 53.55540379045318
Time 17s	hr 56.33763260066137
Time 18s	hr 57.96746488009211
Time 19s	hr 58.73679043234707
Time 20s	hr 57.415561007768154
Time 21s	hr 59.41692566587117
Time 22s	hr 60.50496475505086
Time 23s	hr 74.527266098411
Time 24s	hr 72.947910615998
Time 25s	hr 70.92123971745521
Time 26s	hr 69.75711699602161
Time 27s	hr 66.5371467710783
Time 28s	hr 61.461880035936254
Time 29s	hr 63.24369512798939
Time 30s	hr 63.70977969752699
Time 31s	hr 64.67625618903911
Time 32s	hr 62.56899339514118
Time 33s	hr 62.98914086108029
Time 34s	hr 63.08097578699468
Time 35s	hr 59.33241598166249
Time 36s	hr 65.78220662574674
Time 37s	hr 65.78220662574674
Time 38s	hr 57.849958718697344
Time 39s	hr 58.03834458003537
Time 40s	hr 56.162783876871124
Time 41s	hr 51.619051205461126
Time 42s	hr 47.089279873172394
Time 43s	hr 48.86259815681467
Time 44s	hr 46.75553491187438
Time 45s	hr 51.7497362057222
Time 46s	hr 51.7497362057222
Time 47s	hr 44.41790228017439
Time 48s	hr 39.88302309327077
Time 49s	hr 47.51076972643785
Time 50s	hr 48.27967338847372
Time 51s	hr 44.74466012254927
Time 52s	hr 43.96149002781697
Time 53s	hr 45.2551007401207
Time 54s	hr 52.09833874027856
Time 55s	hr 48.687780629906996
Time 56s	hr 51.37402395776684
Time 57s	hr 54.1829992872872
Time 58s	hr 55.412586592705715
Time 59s	hr 49.528287285298575
Time 60s	hr 49.58662113292905
