Time 1s	hr 39.82558165261971
Time 2s	hr 40.90818070207023
Time 3s	hr 46.83976039901257
Time 4s	hr 48.945232782763014
Time 5s	hr 57.151891223949875
Time 6s	hr 57.905187825504015
Time 7s	hr 66.34360547460207
Time 8s	hr 69.40594984818608
Time 9s	hr 61.36812809219389
Time 10s	hr 60.69377639610374
Time 11s	hr 64.68027467125546
Time 12s	hr 66.90815305953753
Time 13s	hr 63.29233565258994
Time 14s	hr 61.992712983894876
Time 15s	hr 62.193155240161666
Time 16s	hr 57.62184528666838
Time 17s	hr 53.40181047490588
Time 18s	hr 54.24096548918639
Time 19s	hr 48.93404422809819
Time 20s	hr 43.57581807425221
Time 21s	hr 37.50822133326369
Time 22s	hr 36.33744213307768
Time 23s	hr 37.92128932889384
Time 24s	hr 31.42935274731521
Time 25s	hr 32.91548695275687
Time 26s	hr 32.18006332982875
Time 27s	hr 31.15327589313008
Time 28s	hr 31.294844534252388
Time 29s	hr 32.178844353439246
Time 30s	hr 33.40232881259037
Time 31s	hr 37.12777089194996
Time 32s	hr 39.97465473640667
Time 33s	hr 47.54702613855919
Time 34s	hr 54.1022472961411
Time 35s	hr 54.1022472961411
Time 36s	hr 46.51699977047048
Time 37s	hr 53.19214542173814
Time 38s	hr 54.83302496018399
Time 39s	hr 58.49502124501083
Time 40s	hr 61.19252953440256
Time 41s	hr 56.143732196392435
Time 42s	hr 57.00123350669242
Time 43s	hr 48.48629376821071
Time 44s	hr 53.354608779998784
Time 45s	hr 50.79481343049086
Time 46s	hr 48.623389783264436
Time 47s	hr 42.381128116878074
Time 48s	hr 40.08789850795259
Time 49s	hr 39.323729721188464
Time 50s	hr 39.665257837506914
Time 51s	hr 43.07560798229223
Time 52s	hr 41.22974352637127
Time 53s	hr 41.93671230098533
Time 54s	hr 43.46297189184339
Time 55s	hr 47.5592577594223
Time 56s	hr 50.60040330208039
Time 57s	hr 50.46599617473959
Time 58s	hr 50.13334163318641
Time 59s	hr 51.37730065717423
Time 60s	hr 55.18250521445808
