Time 1s	hr 63.34456516933242
Time 2s	hr 63.808033446301145
Time 3s	hr 64.24853427082465
Time 4s	hr 52.397124223136665
Time 5s	hr 53.700000345216324
Time 6s	hr 51.59254913303755
Time 7s	hr 58.035559505032424
Time 8s	hr 57.81275974339877
Time 9s	hr 55.97671003977275
Time 10s	hr 52.554778666972766
Time 11s	hr 49.568843486904534
Time 12s	hr 54.817440620977194
Time 13s	hr 57.00691164465076
Time 14s	hr 56.92718443838597
Time 15s	hr 57.2622565220803
Time 16s	hr 56.84284422013599
Time 17s	hr 56.408949254731866
Time 18s	hr 56.45982057257563
Time 19s	hr 57.09751265471628
Time 20s	hr 60.38624923695546
Time 21s	hr 67.11666697005074
Time 22s	hr 69.81006511153352
Time 23s	hr 65.35949421163424
Time 24s	hr 61.67005341469318
Time 25s	hr 62.16085748416207
Time 26s	hr 64.73146905263773
Time 27s	hr 65.65851877642599
Time 28s	hr 65.22414531185875
Time 29s	hr 62.1407359244493
Time 30s	hr 63.03914160189113
Time 31s	hr 57.12593275407985
Time 32s	hr 57.12722181518471
Time 33s	hr 62.8488556668903
Time 34s	hr 62.65300894498179
Time 35s	hr 63.98856396384738
Time 36s	hr 64.90771926951125
Time 37s	hr 66.37590496632096
Time 38s	hr 65.8511500604016
Time 39s	hr 64.2775322149864
Time 40s	hr 65.7178174836771
Time 41s	hr 62.88573124958526
Time 42s	hr 66.94993033413114
Time 43s	hr 64.0150590732019
Time 44s	hr 66.50393288640704
Time 45s	hr 66.98777629387483
Time 46s	hr 68.93169749224352
Time 47s	hr 65.48772105775971
Time 48s	hr 68.72572263847854
Time 49s	hr 68.71794307955457
Time 50s	hr 73.13391988657825
Time 51s	hr 70.463398268202
Time 52s	hr 70.67915363127109
Time 53s	hr 69.6663586252508
Time 54s	hr 73.08435624786615
Time 55s	hr 77.93706562466566
Time 56s	hr 79.70211274053848
Time 57s	hr 77.28700541267656
Time 58s	hr 79.36659779048857
Time 59s	hr 76.50661610089553
Time 60s	hr 78.56847829629127
