Time 1s	hr 62.310934345606306
Time 2s	hr 67.18108059844413
Time 3s	hr 57.75433313114346
Time 4s	hr 56.3104188798327
Time 5s	hr 49.384109169005825
Time 6s	hr 43.90431620161734
Time 7s	hr 42.94484060378201
Time 8s	hr 37.23852889357102
Time 9s	hr 38.90583940661612
Time 10s	hr 39.52300996704449
Time 11s	hr 48.03921344915445
Time 12s	hr 49.10270706848354
Time 13s	hr 49.69585772705424
Time 14s	hr 51.76281214639517
Time 15s	hr 53.25607809400331
Time 16s	hr 57.31045900275728
Time 17s	hr 63.646095124308985
Time 18s	hr 62.308589311730394
Time 19s	hr 56.11999160902278
Time 20s	hr 52.907880074464515
Time 21s	hr 51.32883620012429
Time 22s	hr 53.614320711855456
Time 23s	hr 51.700408589560716
Time 24s	hr 56.24676346748583
Time 25s	hr 51.288575232657976
Time 26s	hr 47.850129566188784
Time 27s	hr 47.746508692392204
Time 28s	hr 44.83177341355756
Time 29s	hr 45.840473040066506
Time 30s	hr 44.937078460782125
Time 31s	hr 46.50325371640596
Time 32s	hr 44.44389301095867
Time 33s	hr 44.319802153027965
Time 34s	hr 47.71899761592998
Time 35s	hr 44.43573723430432
Time 36s	hr 42.46080246185345
Time 37s	hr 42.80987667616119
Time 38s	hr 43.701803284156384
Time 39s	hr 43.41728580118123
Time 40s	hr 42.21174240152775
Time 41s	hr 44.253255395904205
Time 42s	hr 36.196757465508476
Time 43s	hr 41.57075164264047
Time 44s	hr 45.74004302155911
Time 45s	hr 45.74004302155911
Time 46s	hr 49.670765608623405
Time 47s	hr 51.141212426245026
Time 48s	hr 56.76559771093698
Time 49s	hr 60.367191288748174
Time 50s	hr 63.4546487510205
Time 51s	hr 71.010157227138
Time 52s	hr 64.62315331261424
Time 53s	hr 64.84735467699717
Time 54s	hr 58.79787163464191
Time 55s	hr 56.51588272327918
Time 56s	hr 57.11469446118769
Time 57s	hr 57.7570097356394
Time 58s	hr 56.77515540227537
Time 59s	hr 51.32706226415457
Time 60s	hr 57.86597168027393
