Time 1s	hr 71.69276547651991
Time 2s	hr 67.16543446928259
Time 3s	hr 68.94422377824404
Time 4s	hr 65.46853500917466
Time 5s	hr 67.18176896886025
Time 6s	hr 64.22538967096125
Time 7s	hr 57.1041562361257
Time 8s	hr 57.95890192223621
Time 9s	hr 62.80623666767562
Time 10s	hr 57.36994742872991
Time 11s	hr 61.60640155198727
Time 12s	hr 58.65437606939562
Time 13s	hr 56.52154599239818
Time 14s	hr 55.45459417686733
Time 15s	hr 50.25766581747246
Time 16s	hr 53.38464784316578
Time 17s	hr 54.16686753546754
Time 18s	hr 50.05810912167256
Time 19s	hr 56.31416001303612
Time 20s	hr 62.88533937896024
Time 21s	hr 63.49870565825961
Time 22s	hr 70.60656959254707
Time 23s	hr 63.45250874246126
Time 24s	hr 66.64694953690758
Time 25s	hr 69.3167059499854
Time 26s	hr 69.12563228613752
Time 27s	hr 69.16248143707948
Time 28s	hr 64.98887534873931
Time 29s	hr 66.47725617663501
Time 30s	hr 61.50942593509169
Time 31s	hr 61.91026034388111
Time 32s	hr 67.42716127268324
Time 33s	hr 66.89996644662659
Time 34s	hr 67.34699787593802
Time 35s	hr 63.66274026716104
Time 36s	hr 66.57073971009517
Time 37s	hr 69.05273004571873
Time 38s	hr 71.55318541812575
Time 39s	hr 72.27110230776228
Time 40s	hr 71.1710247488846
Time 41s	hr 68.39132738281978
Time 42s	hr 63.562576249271416
Time 43s	hr 62.68646902814961
Time 44s	hr 64.54387595872066
Time 45s	hr 64.55879545424914
Time 46s	hr 68.26184108680832
Time 47s	hr 67.26754597980853
Time 48s	hr 61.57873403051939
Time 49s	hr 59.559067842023026
Time 50s	hr 56.408080781919026
Time 51s	hr 58.89707633385983
Time 52s	hr 62.835506258446266
Time 53s	hr 64.69876669377572
Time 54s	hr 65.17601677030045
Time 55s	hr 59.10358835287262
Time 56s	hr 64.71639775241324
Time 57s	hr 69.31200775084257
Time 58s	hr 73.9928700963616
Time 59s	hr 71.53455540781576
Time 60s	hr 73.81941910248062
