Time 1s	hr 64.28957671163971
Time 2s	hr 67.78274342858926
Time 3s	hr 61.77523874225057
Time 4s	hr 60.687585488578584
Time 5s	hr 61.92474421153037
Time 6s	hr 58.64677837118657
Time 7s	hr 62.58018607842903
Time 8s	hr 66.43275024268569
Time 9s	hr 69.54284031945338
Time 10s	hr 66.33603753664727
Time 11s	hr 63.44074630594479
Time 12s	hr 68.31660444283607
Time 13s	hr 72.16515586361837
Time 14s	hr 72.91589288473169
Time 15s	hr 69.76453402159005
Time 16s	hr 68.74488924713901
Time 17s	hr 67.85029316811082
Time 18s	hr 76.41438651532086
Time 19s	hr 75.329086098109
Time 20s	hr 72.48390492145334
Time 21s	hr 69.57865276330207
Time 22s	hr 66.28296847340856
Time 23s	hr 63.23251842705738
Time 24s	hr 62.82138899095619
Time 25s	hr 63.76128319666761
Time 26s	hr 65.18389528441111
Time 27s	hr 63.53363734954805
Time 28s	hr 61.64972893641024
Time 29s	hr 63.022590542108475
Time 30s	hr 65.40837095022844
Time 31s	hr 70.34867660708734
Time 32s	hr 71.98599440492409
Time 33s	hr 75.57244928040527
Time 34s	hr 71.72302604276443
Time 35s	hr 66.89962128428651
Time 36s	hr 69.29531660673359
Time 37s	hr 71.88959379177356
Time 38s	hr 69.7926970782936
Time 39s	hr 66.0873297140195
Time 40s	hr 64.86591801962493
Time 41s	hr 65.19784769831462
Time 42s	hr 65.49768222806026
Time 43s	hr 68.41379962313164
Time 44s	hr 70.63877639425593
Time 45s	hr 66.04321736057173
Time 46s	hr 59.13280752221407
Time 47s	hr 62.41025470383824
Time 48s	hr 60.66039761676925
Time 49s	hr 61.0893601313034
Time 50s	hr 62.199398083981166
Time 51s	hr 60.01472027722126
Time 52s	hr 58.466059770199244
Time 53s	hr 59.140012874344315
Time 54s	hr 64.48266530241644
Time 55s	hr 65.27002195998175
Time 56s	hr 62.61398615287632
Time 57s	hr 66.4579171798568
Time 58s	hr 64.48279628012612
Time 59s	hr 70.1782927375832
Time 60s	hr 66.00088566588393
