Time 1s	hr 42.19042682901281
Time 2s	hr 37.416305959616444
Time 3s	hr 39.5021033750796
Time 4s	hr 42.57116713233226
Time 5s	hr 41.871024404385196
Time 6s	hr 35.70712834793363
Time 7s	hr 33.27607482165402
Time 8s	hr 34.60227527722588
Time 9s	hr 35.74347749746332
Time 10s	hr 37.53174912306819
Time 11s	hr 44.22661223297505
Time 12s	hr 46.41543538673204
Time 13s	hr 44.07131847408034
Time 14s	hr 41.356200309951134
Time 15s	hr 43.90212406106812
Time 16s	hr 42.69973985183405
Time 17s	hr 42.02267557581506
Time 18s	hr 43.76909791639001
Time 19s	hr 52.8462413066827
Time 20s	hr 43.09984010917085
Time 21s	hr 42.72287749565735
Time 22s	hr 42.21607071529608
Time 23s	hr 44.18056863484411
Time 24s	hr 43.013676649109044
Time 25s	hr 47.12492620460857
Time 26s	hr 47.885605120214386
Time 27s	hr 51.01119871162444
Time 28s	hr 50.60435196161473
Time 29s	hr 51.956168693667195
Time 30s	hr 59.31168069631262
Time 31s	hr 62.389906511010956
Time 32s	hr 61.10056164654384
Time 33s	hr 65.02810376158594
Time 34s	hr 59.13470227029681
Time 35s	hr 60.07381991138351
Time 36s	hr 55.5490317589682
Time 37s	hr 54.23539361756693
Time 38s	hr 42.773250981655956
Time 39s	hr 39.00582938869819
Time 40s	hr 39.89494773706553
Time 41s	hr 38.37300096118092
Time 42s	hr 37.65411310750963
Time 43s	hr 42.591759255152226
Time 44s	hr 47.02791262254329
Time 45s	hr 49.5164763245473
Time 46s	hr 52.740992052032794
Time 47s	hr 52.52256040929164
Time 48s	hr 47.61587646645926
Time 49s	hr 43.07909072840232
Time 50s	hr 48.831573798026376
Time 51s	hr 51.65843374728698
Time 52s	hr 52.8420682574895
Time 53s	hr 51.13748353999107
Time 54s	hr 57.922665156979726
Time 55s	hr 60.63817706188492
Time 56s	hr 63.09100793773666
Time 57s	hr 65.91932726809796
Time 58s	hr 70.60680654557693
Time 59s	hr 64.38678152681739
Time 60s	hr 65.19941421948374
