Time 1s	hr 55.28563241361606
Time 2s	hr 54.411879427224235
Time 3s	hr 55.78285634773118
Time 4s	hr 60.521892382394014
Time 5s	hr 66.0715931962421
Time 6s	hr 66.34312731792096
Time 7s	hr 63.78350498793643
Time 8s	hr 60.3403230423785
Time 9s	hr 55.98440125289393
Time 10s	hr 50.186996225152626
Time 11s	hr 52.87362086713295
Time 12s	hr 47.71052362265345
Time 13s	hr 46.2661998069259
Time 14s	hr 46.6372649802445
Time 15s	hr 39.63452956251678
Time 16s	hr 41.310476265172454
Time 17s	hr 38.60163435030603
Time 18s	hr 43.77228586901732
Time 19s	hr 46.405792379844044
Time 20s	hr 49.60134103130369
Time 21s	hr 51.05612201985191
Time 22s	hr 42.835659025747624
Time 23s	hr 44.53596254852206
Time 24s	hr 44.53596254852206
Time 25s	hr 47.317571473485735
Time 26s	hr 47.674644254074394
Time 27s	hr 42.499474650837435
Time 28s	hr 41.46122103779551
Time 29s	hr 45.497015244142574
Time 30s	hr 49.41682636966795
Time 31s	hr 56.56820321410638
Time 32s	hr 55.47817185323389
Time 33s	hr 56.63054754613976
Time 34s	hr 60.06225001747749
Time 35s	hr 55.40539837574433
Time 36s	hr 56.45035178036842
Time 37s	hr 59.213505170637994
Time 38s	hr 49.887643154022435
Time 39s	hr 52.703847943072866
Time 40s	hr 49.90432820446371
Time 41s	hr 48.54694345814115
Time 42s	hr 43.635962714424466
Time 43s	hr 43.49985453959042
Time 44s	hr 46.1858120649222
Time 45s	hr 49.047213931254284
Time 46s	hr 50.07438012656566
Time 47s	hr 52.48525385788812
Time 48s	hr 50.928210671167
Time 49s	hr 53.88222618324255
Time 50s	hr 61.85066891327204
Time 51s	hr 66.44980939174783
Time 52s	hr 70.84146664033366
Time 53s	hr 78.93535155240419
Time 54s	hr 70.06225211564052
Time 55s	hr 65.3406870501399
Time 56s	hr 63.85548869084348
Time 57s	hr 63.85548869084348
Time 58s	hr 57.32745640560043
Time 59s	hr 52.86589252423562
Time 60s	hr 49.69400965320822
