Time 1s	hr 70.7996665721886
Time 2s	hr 72.97048024220291
Time 3s	hr 66.32112696307671
Time 4s	hr 68.24619191936318
Time 5s	hr 63.75788025261799
Time 6s	hr 57.25171537271558
Time 7s	hr 60.12875490545396
Time 8s	hr 61.1553642651998
Time 9s	hr 58.33910449323324
Time 10s	hr 55.07064942226443
Time 11s	hr 59.11725159266406
Time 12s	hr 59.86999768831928
Time 13s	hr 59.43871951122505
Time 14s	hr 59.6945828151056
Time 15s	hr 60.08674055102888
Time 16s	hr 60.080078934809855
Time 17s	hr 57.6766850748218
Time 18s	hr 61.34994417155106
Time 19s	hr 60.852406051523765
Time 20s	hr 56.56438425849681
Time 21s	hr 57.41393597835825
Time 22s	hr 55.998971775916665
Time 23s	hr 55.26190731131078
Time 24s	hr 57.16673173947781
Time 25s	hr 62.51548951493367
Time 26s	hr 62.09725274302214
Time 27s	hr 56.684092091369614
Time 28s	hr 62.39977902158262
Time 29s	hr 67.19349899232142
Time 30s	hr 69.63119143146389
Time 31s	hr 68.22537465651801
Time 32s	hr 66.88475034046269
Time 33s	hr 66.4632856558285
Time 34s	hr 63.02851908128531
Time 35s	hr 59.0901508667839
Time 36s	hr 60.24470495481984
Time 37s	hr 58.18353273494367
Time 38s	hr 57.94358164364835
Time 39s	hr 59.17828874832722
Time 40s	hr 58.790443648658595
Time 41s	hr 62.36118213196425
Time 42s	hr 62.124585658781456
Time 43s	hr 63.200656300895126
Time 44s	hr 61.63515160352035
Time 45s	hr 69.78438161337897
Time 46s	hr 71.64461483415458
Time 47s	hr 62.73634152208897
Time 48s	hr 63.94431422184924
Time 49s	hr 66.58319796969228
Time 50s	hr 64.37577530562699
Time 51s	hr 71.08448635691134
Time 52s	hr 72.71394477533498
Time 53s	hr 73.64777438819418
Time 54s	hr 69.22765771381574
Time 55s	hr 66.38779367470431
Time 56s	hr 68.29074332839296
Time 57s	hr 71.88316828658397
Time 58s	hr 76.12304647646074
Time 59s	hr 79.82051844757062
Time 60s	hr 80.09628888324417
