Time 1s	hr 45.75816274962882
Time 2s	hr 46.94943257894173
Time 3s	hr 45.08979487718598
Time 4s	hr 43.65259968224534
Time 5s	hr 41.58898335557038
Time 6s	hr 47.35274586960662
Time 7s	hr 50.400375860803095
Time 8s	hr 51.95003999287144
Time 9s	hr 58.97206675028515
Time 10s	hr 56.288085046042454
Time 11s	hr 55.28801163423313
Time 12s	hr 55.60343307179534
Time 13s	hr 54.89068256278896
Time 14s	hr 53.5771525794615
Time 15s	hr 50.400242500765195
Time 16s	hr 45.39795376073435
Time 17s	hr 44.514722749940454
Time 18s	hr 45.04042651739582
Time 19s	hr 42.24348808584771
Time 20s	hr 43.5828391553909
Time 21s	hr 46.51438511626902
Time 22s	hr 44.08819225626411
Time 23s	hr 46.93894392096441
Time 24s	hr 47.37949289202593
Time 25s	hr 40.93970915930294
Time 26s	hr 34.59946270782748
Time 27s	hr 35.98035580514264
Time 28s	hr 38.25207240165395
Time 29s	hr 41.90297909928308
Time 30s	hr 44.775710788823325
Time 31s	hr 45.74776436394124
Time 32s	hr 53.369076721839285
Time 33s	hr 54.55449881344872
Time 34s	hr 58.42607173865119
Time 35s	hr 61.14215654432768
Time 36s	hr 60.23293400705286
Time 37s	hr 58.18582559831598
Time 38s	hr 56.918267897000156
Time 39s	hr 57.71711988749868
Time 40s	hr 61.71209643358206
Time 41s	hr 55.09325302083588
Time 42s	hr 49.94367238174422
Time 43s	hr 48.384559186154284
Time 44s	hr 43.565680865204996
Time 45s	hr 43.17527835371702
Time 46s	hr 43.92592117903325
Time 47s	hr 37.92228558626505
Time 48s	hr 35.196277378906636
Time 49s	hr 41.8887013017544
Time 50s	hr 42.604435517348655
Time 51s	hr 47.4395759579612
Time 52s	hr 51.050362267197514
Time 53s	hr 53.37999159776872
Time 54s	hr 57.60732027740344
Time 55s	hr 54.600020371874635
Time 56s	hr 57.73044031343526
Time 57s	hr 56.30009770360753
Time 58s	hr 53.49702114097683
Time 59s	hr 59.58286394449841
Time 60s	hr 54.92073737477205
