Time 1s	hr 51.05436300481786
Time 2s	hr 50.81349686326551
Time 3s	hr 43.41394665800735
Time 4s	hr 44.6561526484248
Time 5s	hr 44.82181854411837
Time 6s	hr 43.08056879767377
Time 7s	hr 37.22646089599766
Time 8s	hr 38.71680047802267
Time 9s	hr 36.896385283271854
Time 10s	hr 36.896385283271854
Time 11s	hr 37.998425826548385
Time 12s	hr 37.998425826548385
Time 13s	hr 41.60169085119989
Time 14s	hr 44.091275504997874
Time 15s	hr 46.521960109746296
Time 16s	hr 46.840238200308406
Time 17s	hr 47.228668935533335
Time 18s	hr 50.3349032789678
Time 19s	hr 56.69333836266269
Time 20s	hr 58.31232406888581
Time 21s	hr 70.10305207073745
Time 22s	hr 70.67185506446516
Time 23s	hr 60.177106037237785
Time 24s	hr 57.48396011887509
Time 25s	hr 53.92129351431529
Time 26s	hr 54.54937962127019
Time 27s	hr 52.66452265215307
Time 28s	hr 44.08515139360716
Time 29s	hr 41.87917195803246
Time 30s	hr 37.75007933284049
Time 31s	hr 36.06128145987406
Time 32s	hr 35.70786467504825
Time 33s	hr 37.239244217537035
Time 34s	hr 41.68809647125659
Time 35s	hr 42.24149335023792
Time 36s	hr 45.509086255669736
Time 37s	hr 39.204231208127446
Time 38s	hr 43.67293508751881
Time 39s	hr 50.612651916640615
Time 40s	hr 56.062447680156794
Time 41s	hr 56.88227732368523
Time 42s	hr 64.81719699229836
Time 43s	hr 64.61636081948322
Time 44s	hr 64.60877593279245
Time 45s	hr 68.7984656524504
Time 46s	hr 74.69251383755461
Time 47s	hr 67.33852970483171
Time 48s	hr 62.56775044577499
Time 49s	hr 63.731276308669784
Time 50s	hr 69.38393061859153
Time 51s	hr 66.95188643685906
Time 52s	hr 68.52082574583989
Time 53s	hr 63.26133701148503
Time 54s	hr 60.72140290425432
Time 55s	hr 50.40121890307479
Time 56s	hr 54.537620959896
Time 57s	hr 59.57166483690328
Time 58s	hr 54.98585122404587
Time 59s	hr 54.06867904024707
Time 60s	hr 42.042294618453525
