Time 1s	hr 77.6041378008898
Time 2s	hr 78.4783715188554
Time 3s	hr 79.09491004885773
Time 4s	hr 80.39640984715778
Time 5s	hr 76.7326062634696
Time 6s	hr 68.88087797320716
Time 7s	hr 63.97179099904382
Time 8s	hr 70.58363144215959
Time 9s	hr 68.29755381952828
Time 10s	hr 66.2865867434576
Time 11s	hr 57.67584666060328
Time 12s	hr 51.48018454230488
Time 13s	hr 59.95662018616276
Time 14s	hr 62.54868959400672
Time 15s	hr 64.61713951748202
Time 16s	hr 63.957073376767575
Time 17s	hr 64.16530900002395
Time 18s	hr 60.603352159955385
Time 19s	hr 63.88234541433527
Time 20s	hr 62.502554791929256
Time 21s	hr 63.242071042912826
Time 22s	hr 58.72375148900325
Time 23s	hr 52.04195952376141
Time 24s	hr 48.5919864525561
Time 25s	hr 50.50064126345695
Time 26s	hr 50.85957718420421
Time 27s	hr 51.79044476867874
Time 28s	hr 54.600791620478354
Time 29s	hr 59.11942923913445
Time 30s	hr 64.96938401997654
Time 31s	hr 63.020537826091726
Time 32s	hr 63.434889525442884
Time 33s	hr 69.78450660667153
Time 34s	hr 65.63175884056344
Time 35s	hr 71.94861429966515
Time 36s	hr 65.93899396810997
Time 37s	hr 69.68581516724376
Time 38s	hr 65.54488561286661
Time 39s	hr 65.32590900022348
Time 40s	hr 69.80120395020155
Time 41s	hr 70.55632572417441
Time 42s	hr 69.51249266932739
Time 43s	hr 72.10497855597745
Time 44s	hr 68.97162667167305
Time 45s	hr 69.51308935158542
Time 46s	hr 64.31293542469771
Time 47s	hr 64.25948647031286
Time 48s	hr 58.78182817094135
Time 49s	hr 54.45801148144146
Time 50s	hr 48.61442184326461
Time 51s	hr 53.93958389027163
Time 52s	hr 50.187196675247876
Time 53s	hr 53.2633642108443
Time 54s	hr 51.46253081747767
Time 55s	hr 51.65688823296003
Time 56s	hr 54.726628292202975
Time 57s	hr 55.674284403729374
Time 58s	hr 64.83964609786231
Time 59s	hr 73.48886762239717
Time 60s	hr 72.65673038113454
