Time 1s	hr 68.68884331765639
Time 2s	hr 61.157671919055595
Time 3s	hr 61.99210129707524
Time 4s	hr 64.84117785685275
Time 5s	hr 64.67459082030098
Time 6s	hr 69.61557687770373
Time 7s	hr 69.41267412326889
Time 8s	hr 68.75362174026063
Time 9s	hr 70.2794604177282
Time 10s	hr 69.53930076273141
Time 11s	hr 74.8002358409858
Time 12s	hr 71.36248852847834
Time 13s	hr 71.6788151141398
Time 14s	hr 75.79345244154656
Time 15s	hr 72.62680444733883
Time 16s	hr 76.30229740918226
Time 17s	hr 75.97113345944507
Time 18s	hr 73.81570694901508
Time 19s	hr 73.3574157578406
Time 20s	hr 75.9808558635536
Time 21s	hr 79.49590059514189
Time 22s	hr 76.83690958278355
Time 23s	hr 72.55370826729704
Time 24s	hr 73.07558195261882
Time 25s	hr 72.51359756852955
Time 26s	hr 66.6854734520779
Time 27s	hr 66.12626738017201
Time 28s	hr 65.15209049712172
Time 29s	hr 55.987412909828784
Time 30s	hr 52.15093375486388
Time 31s	hr 56.78365456004441
Time 32s	hr 56.945341172457816
Time 33s	hr 60.64475747449022
Time 34s	hr 64.99581914393285
Time 35s	hr 64.43198847629567
Time 36s	hr 69.35817510570591
Time 37s	hr 78.16172805538125
Time 38s	hr 76.58076580893382
Time 39s	hr 76.34125056426323
Time 40s	hr 72.65483245674466
Time 41s	hr 69.01789800365499
Time 42s	hr 69.25809324368024
Time 43s	hr 62.98953564292832
Time 44s	hr 61.690799216230815
Time 45s	hr 59.04054392872287
Time 46s	hr 55.145084931344826
Time 47s	hr 56.944287291100096
Time 48s	hr 63.04866590966816
Time 49s	hr 63.28931266287369
Time 50s	hr 66.70739449577965
Time 51s	hr 63.32642902868409
Time 52s	hr 65.71769151800196
Time 53s	hr 68.87783259369205
Time 54s	hr 72.1386696726479
Time 55s	hr 76.66628663614242
Time 56s	hr 71.77213937784086
Time 57s	hr 66.80268097377665
Time 58s	hr 62.65894616550111
Time 59s	hr 63.80786855238724
Time 60s	hr 66.20684906543002
