Time 1s	hr 54.9139112896653
Time 2s	hr 54.89091746519363
Time 3s	hr 53.95256421186914
Time 4s	hr 48.930793356237444
Time 5s	hr 49.60666403641014
Time 6s	hr 53.26943427938208
Time 7s	hr 60.14967283690404
Time 8s	hr 62.264542022152575
Time 9s	hr 57.300075589540555
Time 10s	hr 51.57713863960404
Time 11s	hr 52.9542953131948
Time 12s	hr 55.59515680937951
Time 13s	hr 62.64735542599792
Time 14s	hr 63.63729794760005
Time 15s	hr 56.91622996547206
Time 16s	hr 53.49241859752072
Time 17s	hr 56.33861712357204
Time 18s	hr 56.37021535614517
Time 19s	hr 58.71299995084477
Time 20s	hr 59.55627005433458
Time 21s	hr 65.82423612470168
Time 22s	hr 66.90739866103365
Time 23s	hr 64.9934669108684
Time 24s	hr 70.00323228258083
Time 25s	hr 68.64506315002679
Time 26s	hr 69.92487672665119
Time 27s	hr 69.15349044699036
Time 28s	hr 65.47678041678515
Time 29s	hr 64.32705038881237
Time 30s	hr 66.33607114024639
Time 31s	hr 61.15369129388268
Time 32s	hr 60.893477203375795
Time 33s	hr 59.42237411637389
Time 34s	hr 59.79786593818981
Time 35s	hr 59.87480238695762
Time 36s	hr 60.94504742515174
Time 37s	hr 63.56446560447026
Time 38s	hr 62.40672938697257
Time 39s	hr 57.64708860158044
Time 40s	hr 57.80249508805214
Time 41s	hr 56.988315685634646
Time 42s	hr 56.80975360347365
Time 43s	hr 56.16826026162546
Time 44s	hr 54.251365564639556
Time 45s	hr 59.64162540128693
Time 46s	hr 62.027180372464244
Time 47s	hr 60.299085271920646
Time 48s	hr 63.13869724978782
Time 49s	hr 65.8849701129806
Time 50s	hr 69.02154225080344
Time 51s	hr 72.13597868062432
Time 52s	hr 69.2585016909535
Time 53s	hr 68.2715345953446
Time 54s	hr 63.56557893389082
Time 55s	hr 62.70693579120756
Time 56s	hr 63.69012224904924
Time 57s	hr 63.92187757901359
Time 58s	hr 65.79414564568995
Time 59s	hr 61.2605765818236
Time 60s	hr 58.98479306496168
