Time 1s	hr 77.22128129410684
Time 2s	hr 70.36600440066645
Time 3s	hr 67.42774611295727
Time 4s	hr 59.86048376908511
Time 5s	hr 64.18351426468033
Time 6s	hr 63.138516750669794
Time 7s	hr 60.475730316679716
Time 8s	hr 66.0456401791923
Time 9s	hr 67.83690520601907
Time 10s	hr 63.90483084308845
Time 11s	hr 61.73581415684473
Time 12s	hr 60.89994034241875
Time 13s	hr 60.00477437988172
Time 14s	hr 68.14700759210271
Time 15s	hr 69.02005816067067
Time 16s	hr 63.565670520567124
Time 17s	hr 60.73479246347434
Time 18s	hr 71.77648697553359
Time 19s	hr 74.38495497338872
Time 20s	hr 78.85033668381813
Time 21s	hr 81.76858402569462
Time 22s	hr 83.28634843052215
Time 23s	hr 82.93391152092114
Time 24s	hr 77.74954965193305
Time 25s	hr 82.92898189513656
Time 26s	hr 82.57119735897045
Time 27s	hr 76.36804522973748
Time 28s	hr 68.09119653686307
Time 29s	hr 69.43113315785668
Time 30s	hr 64.02289117132949
Time 31s	hr 64.22145475680982
Time 32s	hr 60.899723378230796
Time 33s	hr 64.74943587053855
Time 34s	hr 64.49732232199965
Time 35s	hr 68.42607239880937
Time 36s	hr 70.84811311893363
Time 37s	hr 76.23867274654746
Time 38s	hr 84.2353151434432
Time 39s	hr 77.4469909230199
Time 40s	hr 77.45064656552817
Time 41s	hr 78.28652712354263
Time 42s	hr 75.97743225446024
Time 43s	hr 78.51628988371478
Time 44s	hr 74.86858457727935
Time 45s	hr 66.92841287269896
Time 46s	hr 62.571157745580486
Time 47s	hr 61.890170363832645
Time 48s	hr 61.25375346411579
Time 49s	hr 62.54777477221721
Time 50s	hr 67.86141485806216
Time 51s	hr 63.94712544721841
Time 52s	hr 63.273979844430855
Time 53s	hr 62.58018673113913
Time 54s	hr 65.45677891918035
Time 55s	hr 63.16952753462897
Time 56s	hr 62.5835895105633
Time 57s	hr 64.2308631931087
Time 58s	hr 61.92853508978941
Time 59s	hr 59.82613660546786
Time 60s	hr 60.0665236749671
