Time 1s	hr 61.788619895564416
Time 2s	hr 60.11672624267567
Time 3s	hr 65.01833343620564
Time 4s	hr 68.95006147629171
Time 5s	hr 71.00327945858893
Time 6s	hr 71.86993625765328
Time 7s	hr 68.97707901070308
Time 8s	hr 69.47404328163265
Time 9s	hr 70.28492771704545
Time 10s	hr 68.69536071189627
Time 11s	hr 72.64138699439098
Time 12s	hr 68.98527067264605
Time 13s	hr 63.39424315609983
Time 14s	hr 62.224619759867814
Time 15s	hr 63.153741879731136
Time 16s	hr 65.02111235518142
Time 17s	hr 68.57294736425204
Time 18s	hr 75.49457439367418
Time 19s	hr 75.78156288674525
Time 20s	hr 72.36124126236642
Time 21s	hr 74.22224442933408
Time 22s	hr 72.1415438076124
Time 23s	hr 76.12730744247693
Time 24s	hr 68.02500298150532
Time 25s	hr 62.06041188047301
Time 26s	hr 61.197325676868104
Time 27s	hr 60.762272429593295
Time 28s	hr 57.080962050991644
Time 29s	hr 55.78520075803778
Time 30s	hr 56.40118101566404
Time 31s	hr 62.209915810596456
Time 32s	hr 66.07185710891864
Time 33s	hr 72.29122638845348
Time 34s	hr 74.93220274793305
Time 35s	hr 76.5960103223343
Time 36s	hr 70.17517296797926
Time 37s	hr 72.55165933724574
Time 38s	hr 75.71637238867551
Time 39s	hr 76.57915796110514
Time 40s	hr 70.51774492666776
Time 41s	hr 63.82673713081733
Time 42s	hr 65.42121394078102
Time 43s	hr 63.58909304614657
Time 44s	hr 61.36692116756193
Time 45s	hr 69.72819947843259
Time 46s	hr 66.06895114306691
Time 47s	hr 68.09119267318698
Time 48s	hr 68.2691900503978
Time 49s	hr 67.78666046644585
Time 50s	hr 70.23644385818417
Time 51s	hr 68.4813434097186
Time 52s	hr 68.9692619047517
Time 53s	hr 72.37050884658615
Time 54s	hr 70.20024566894952
Time 55s	hr 72.5877219320097
Time 56s	hr 75.79888406126513
Time 57s	hr 76.02005772329579
Time 58s	hr 77.6649665374011
Time 59s	hr 75.68644212888913
Time 60s	hr 78.50901009199404
