Time 1s	hr 66.07198454620097
Time 2s	hr 58.82677449657898
Time 3s	hr 60.81726545403367
Time 4s	hr 54.514476556487395
Time 5s	hr 56.9062002139885
Time 6s	hr 59.75738104911202
Time 7s	hr 63.262202788633765
Time 8s	hr 66.20955390018761
Time 9s	hr 63.00362538611347
Time 10s	hr 67.91079392041681
Time 11s	hr 70.32101318771493
Time 12s	hr 71.67104709488666
Time 13s	hr 73.78395737549972
Time 14s	hr 76.09816307912399
Time 15s	hr 75.82165079656392
Time 16s	hr 73.12457256402098
Time 17s	hr 70.46533019274345
Time 18s	hr 69.22624193136727
Time 19s	hr 71.01685811089911
Time 20s	hr 72.71784291245025
Time 21s	hr 73.08373176350582
Time 22s	hr 67.62167023428961
Time 23s	hr 63.48333906746253
Time 24s	hr 62.500220631563785
Time 25s	hr 61.8587828823949
Time 26s	hr 61.87942102680026
Time 27s	hr 61.071250188850684
Time 28s	hr 59.10585257286441
Time 29s	hr 57.543409815950426
Time 30s	hr 58.79466411378042
Time 31s	hr 62.58679027558203
Time 32s	hr 64.94249708688467
Time 33s	hr 56.953593421063516
Time 34s	hr 61.27001967258359
Time 35s	hr 62.820395139663475
Time 36s	hr 69.55339093225928
Time 37s	hr 68.97938368323896
Time 38s	hr 65.7789411197726
Time 39s	hr 64.08646443243332
Time 40s	hr 63.59694933065954
Time 41s	hr 70.24530761930896
Time 42s	hr 67.87701780462135
Time 43s	hr 63.776569757427936
Time 44s	hr 60.71631830548145
Time 45s	hr 54.96571966194456
Time 46s	hr 55.74601594837951
Time 47s	hr 55.857855164493394
Time 48s	hr 55.848471018311855
Time 49s	hr 59.4816484959988
Time 50s	hr 61.82141834636598
Time 51s	hr 63.671497858301414
Time 52s	hr 68.02410532429339
Time 53s	hr 69.59216010153284
Time 54s	hr 75.71629109931703
Time 55s	hr 75.73498037280721
Time 56s	hr 75.96464014811373
Time 57s	hr 78.75726759535753
Time 58s	hr 63.71835603073111
Time 59s	hr 63.00821970579684
Time 60s	hr 61.27001091320919
