Time 1s	hr 82.0710533511407
Time 2s	hr 79.87304832475553
Time 3s	hr 73.74636624557347
Time 4s	hr 76.91943393322033
Time 5s	hr 81.49594592191656
Time 6s	hr 82.8057659438341
Time 7s	hr 84.70570144302728
Time 8s	hr 85.33267144353925
Time 9s	hr 76.83364900321726
Time 10s	hr 74.5993865298739
Time 11s	hr 81.54320700463548
Time 12s	hr 87.03010902976821
Time 13s	hr 81.38215104961425
Time 14s	hr 79.388095288962
Time 15s	hr 81.05370733994107
Time 16s	hr 77.87003057123385
Time 17s	hr 80.86874053203991
Time 18s	hr 82.21800048015338
Time 19s	hr 84.79178940376276
Time 20s	hr 81.34129034692216
Time 21s	hr 72.73177622008235
Time 22s	hr 71.29097290693448
Time 23s	hr 71.8015993871532
Time 24s	hr 67.7199478494832
Time 25s	hr 66.62806478876654
Time 26s	hr 63.45169143015195
Time 27s	hr 63.1941275887965
Time 28s	hr 63.22337218862676
Time 29s	hr 67.0844653286293
Time 30s	hr 71.79271519079707
Time 31s	hr 67.69113285194884
Time 32s	hr 65.64147949855804
Time 33s	hr 71.93896750316334
Time 34s	hr 66.26922335874104
Time 35s	hr 66.89066790566051
Time 36s	hr 67.67716341727149
Time 37s	hr 70.07239157539611
Time 38s	hr 68.13650037017716
Time 39s	hr 70.89226454221877
Time 40s	hr 70.36508315697486
Time 41s	hr 70.37463435445841
Time 42s	hr 70.93553186478249
Time 43s	hr 72.30790658939156
Time 44s	hr 68.13393368138058
Time 45s	hr 68.80074025927037
Time 46s	hr 71.48526837546318
Time 47s	hr 69.34314406299265
Time 48s	hr 64.4544260478373
Time 49s	hr 74.32851695210957
Time 50s	hr 75.68579934868876
Time 51s	hr 74.84985119849605
Time 52s	hr 78.26006288456871
Time 53s	hr 83.45752373111722
Time 54s	hr 84.87119089254485
Time 55s	hr 84.5271680531821
Time 56s	hr 93.6100321069041
Time 57s	hr 93.2572582068556
Time 58s	hr 91.17226841071263
Time 59s	hr 94.87008387330376
Time 60s	hr 91.1812032502584
