Time 1s	hr 64.61448818600705
Time 2s	hr 55.87132511015047
Time 3s	hr 61.83758675272353
Time 4s	hr 64.5470998412493
Time 5s	hr 62.465397423233256
Time 6s	hr 64.98755363788325
Time 7s	hr 65.20570530794397
Time 8s	hr 66.93248599239953
Time 9s	hr 71.93532229776405
Time 10s	hr 75.92366756784142
Time 11s	hr 81.61286866690752
Time 12s	hr 83.12167418781185
Time 13s	hr 76.22064424081006
Time 14s	hr 76.20380661510282
Time 15s	hr 76.27728215907476
Time 16s	hr 72.57801128184946
Time 17s	hr 71.40128508746989
Time 18s	hr 71.28375816527182
Time 19s	hr 72.93885803986095
Time 20s	hr 65.58243669117061
Time 21s	hr 66.40662302631408
Time 22s	hr 72.68803220322152
Time 23s	hr 72.70849350546263
Time 24s	hr 73.48008735557683
Time 25s	hr 71.55763383017666
Time 26s	hr 79.27704357142237
Time 27s	hr 86.86576879980647
Time 28s	hr 88.45299161022272
Time 29s	hr 88.1554902488949
Time 30s	hr 85.07834677579561
Time 31s	hr 80.1238319986902
Time 32s	hr 79.24694882462015
Time 33s	hr 78.91039561277444
Time 34s	hr 85.61162252787838
Time 35s	hr 80.08670309687494
Time 36s	hr 76.88759609040584
Time 37s	hr 70.23572855755307
Time 38s	hr 69.47975527840494
Time 39s	hr 72.03696303017327
Time 40s	hr 69.16658848920814
Time 41s	hr 66.84377965879378
Time 42s	hr 66.38090865595268
Time 43s	hr 58.85066418369146
Time 44s	hr 56.72546755099967
Time 45s	hr 55.64288848586674
Time 46s	hr 56.22903652660069
Time 47s	hr 51.037072709880654
Time 48s	hr 52.84330154511498
Time 49s	hr 57.70731776023691
Time 50s	hr 57.239519245277556
Time 51s	hr 59.419131118227064
Time 52s	hr 62.25757376355143
Time 53s	hr 63.12505641801918
Time 54s	hr 66.02077442698538
Time 55s	hr 67.5170673172068
Time 56s	hr 72.94026634248722
Time 57s	hr 72.65081588924676
Time 58s	hr 63.65145346714852
Time 59s	hr 62.7711911618157
Time 60s	hr 61.02232408158884
