Time 1s	hr 73.05837105098854
Time 2s	hr 73.64796233831055
Time 3s	hr 81.2341287410685
Time 4s	hr 81.36126576850627
Time 5s	hr 83.46435007011688
Time 6s	hr 84.32181505035989
Time 7s	hr 82.02995102812163
Time 8s	hr 75.46127116900841
Time 9s	hr 69.68089391802887
Time 10s	hr 72.36306920063788
Time 11s	hr 67.1022947642765
Time 12s	hr 65.31603840112813
Time 13s	hr 63.190516342032645
Time 14s	hr 67.79476679252579
Time 15s	hr 68.13642770680339
Time 16s	hr 71.86242996121753
Time 17s	hr 75.26171005309418
Time 18s	hr 76.29234059338269
Time 19s	hr 75.72087390562312
Time 20s	hr 78.245522386399
Time 21s	hr 84.67183289167342
Time 22s	hr 84.18665593366192
Time 23s	hr 82.36593747785608
Time 24s	hr 75.42724663878083
Time 25s	hr 73.79553465064843
Time 26s	hr 81.67317423859795
Time 27s	hr 85.47078320987993
Time 28s	hr 91.74397778768423
Time 29s	hr 87.77093974819994
Time 30s	hr 88.05846679642539
Time 31s	hr 87.82193325182116
Time 32s	hr 85.92830330596416
Time 33s	hr 92.8541050435099
Time 34s	hr 90.14379351611602
Time 35s	hr 84.9640734861738
Time 36s	hr 77.38851290644422
Time 37s	hr 72.94212123359019
Time 38s	hr 73.83436182735338
Time 39s	hr 72.12157389468817
Time 40s	hr 64.55233664611946
Time 41s	hr 65.09828345953272
Time 42s	hr 62.05184491396503
Time 43s	hr 63.21264287414017
Time 44s	hr 62.709033377354736
Time 45s	hr 63.52273455378211
Time 46s	hr 62.214984084889885
Time 47s	hr 57.18107406832934
Time 48s	hr 60.05747366769046
Time 49s	hr 62.000189989249456
Time 50s	hr 65.83559951048987
Time 51s	hr 63.993663432772365
Time 52s	hr 63.10146608474112
Time 53s	hr 63.14329334875692
Time 54s	hr 59.94695833180035
Time 55s	hr 69.55257000329345
Time 56s	hr 69.47677365982068
Time 57s	hr 69.27783286007232
Time 58s	hr 66.5178006500228
Time 59s	hr 58.12466202931157
Time 60s	hr 60.32363509581749
