Time 1s	hr 68.52759298315092
Time 2s	hr 72.06848985693166
Time 3s	hr 62.53900349184829
Time 4s	hr 58.14501446287392
Time 5s	hr 58.13782088837186
Time 6s	hr 56.89494449645138
Time 7s	hr 60.182112275384746
Time 8s	hr 62.83213912319815
Time 9s	hr 57.12666762660377
Time 10s	hr 53.76196011805441
Time 11s	hr 55.24480798648395
Time 12s	hr 59.77903609204699
Time 13s	hr 63.06098593266157
Time 14s	hr 60.40967897748831
Time 15s	hr 61.01738496146289
Time 16s	hr 57.49713685554076
Time 17s	hr 59.928994795218
Time 18s	hr 61.8351956411033
Time 19s	hr 56.42256547784233
Time 20s	hr 58.539538043043386
Time 21s	hr 54.73301178210285
Time 22s	hr 52.293548746440614
Time 23s	hr 53.306391690681046
Time 24s	hr 52.11008046057145
Time 25s	hr 53.71860255398073
Time 26s	hr 57.97364897967053
Time 27s	hr 53.32248339290801
Time 28s	hr 52.30955627155011
Time 29s	hr 56.055310709335394
Time 30s	hr 60.80346920274191
Time 31s	hr 63.22105056990998
Time 32s	hr 69.55731773282375
Time 33s	hr 70.08623398548579
Time 34s	hr 64.2099786159369
Time 35s	hr 62.60545889550991
Time 36s	hr 65.67123090477622
Time 37s	hr 65.84203340293358
Time 38s	hr 64.42856991296757
Time 39s	hr 62.77573850791582
Time 40s	hr 62.32601109696361
Time 41s	hr 59.7731648243746
Time 42s	hr 60.685767377096994
Time 43s	hr 63.700086403865974
Time 44s	hr 64.10097755772208
Time 45s	hr 58.56517596423055
Time 46s	hr 61.60853476997303
Time 47s	hr 60.988745889032366
Time 48s	hr 63.015633296406634
Time 49s	hr 62.34792734360983
Time 50s	hr 64.872468491986
Time 51s	hr 66.3640033062991
Time 52s	hr 64.11979667849903
Time 53s	hr 66.89607635446822
Time 54s	hr 68.60722122604452
Time 55s	hr 62.573700086133954
Time 56s	hr 65.90694052040595
Time 57s	hr 63.71794867710473
Time 58s	hr 63.43641666459479
Time 59s	hr 64.13286482565506
Time 60s	hr 65.00846424979551
