Time 1s	hr 42.104717520153585
Time 2s	hr 44.97206720660007
Time 3s	hr 46.78130156054734
Time 4s	hr 50.09303289997061
Time 5s	hr 52.06858791150205
Time 6s	hr 61.500693454484775
Time 7s	hr 62.73565516134153
Time 8s	hr 56.22857164277338
Time 9s	hr 58.56779271422956
Time 10s	hr 53.04883060231457
Time 11s	hr 53.04883060231457
Time 12s	hr 48.08345942218797
Time 13s	hr 38.62172155654382
Time 14s	hr 43.80904089680339
Time 15s	hr 37.968974981008344
Time 16s	hr 38.638878032080356
Time 17s	hr 37.19000887932165
Time 18s	hr 39.20588992698079
Time 19s	hr 39.38260416551096
Time 20s	hr 38.19677166233421
Time 21s	hr 38.02566874602813
Time 22s	hr 36.55294220520864
Time 23s	hr 31.777129618488296
Time 24s	hr 33.603195744562235
Time 25s	hr 38.40008232977663
Time 26s	hr 41.69397332377929
Time 27s	hr 42.255995695685385
Time 28s	hr 46.29221893766362
Time 29s	hr 46.08199116334273
Time 30s	hr 49.48065414662175
Time 31s	hr 56.06723948835222
Time 32s	hr 56.042195757052276
Time 33s	hr 54.76537879315891
Time 34s	hr 44.56031170730433
Time 35s	hr 43.81499543807784
Time 36s	hr 49.70949416542013
Time 37s	hr 52.26376776968181
Time 38s	hr 44.81166585084621
Time 39s	hr 46.16823187049126
Time 40s	hr 43.417754228860346
Time 41s	hr 44.22550330576167
Time 42s	hr 43.75692909204249
Time 43s	hr 42.958944596922954
Time 44s	hr 43.35586328797925
Time 45s	hr 36.797005852164055
Time 46s	hr 40.941712148736435
Time 47s	hr 44.95828673817109
Time 48s	hr 44.80352693363864
Time 49s	hr 47.712185917210896
Time 50s	hr 53.46611226466536
Time 51s	hr 54.71736656258109
Time 52s	hr 57.963278588519614
Time 53s	hr 61.47496389063083
Time 54s	hr 69.86903224578164
Time 55s	hr 71.47459518901245
Time 56s	hr 70.73705016018893
Time 57s	hr 70.80613910467791
Time 58s	hr 63.42963530665882
Time 59s	hr 65.99116239020813
Time 60s	hr 56.28585526242534
