Time 1s	hr 90.73509458145342
Time 2s	hr 91.41361950890516
Time 3s	hr 90.05096756119889
Time 4s	hr 84.1878608077216
Time 5s	hr 77.99331941723214
Time 6s	hr 75.74268108801293
Time 7s	hr 72.05052182590485
Time 8s	hr 73.23873118976105
Time 9s	hr 70.95839113280267
Time 10s	hr 65.8474699986302
Time 11s	hr 69.25067662107992
Time 12s	hr 75.06287297516484
Time 13s	hr 74.0214076901927
Time 14s	hr 81.91706344719023
Time 15s	hr 83.74168678560686
Time 16s	hr 84.98929712347656
Time 17s	hr 83.42368938870548
Time 18s	hr 85.1484671988548
Time 19s	hr 85.37461576908102
Time 20s	hr 82.04510164394233
Time 21s	hr 79.76202291467771
Time 22s	hr 76.85758375128344
Time 23s	hr 69.96333846860809
Time 24s	hr 70.47291973951293
Time 25s	hr 67.32584792315066
Time 26s	hr 71.3157520698807
Time 27s	hr 72.3981398142621
Time 28s	hr 69.94290613559124
Time 29s	hr 72.03541994696135
Time 30s	hr 68.94723145578325
Time 31s	hr 72.51903083413642
Time 32s	hr 71.19260646228739
Time 33s	hr 72.30656326346168
Time 34s	hr 73.28566134991176
Time 35s	hr 70.36280640816751
Time 36s	hr 74.57294637058655
Time 37s	hr 72.25408055467408
Time 38s	hr 75.18813167037631
Time 39s	hr 81.3957662513969
Time 40s	hr 81.48011171801016
Time 41s	hr 87.08429405106872
Time 42s	hr 87.93043136879906
Time 43s	hr 94.23376868357506
Time 44s	hr 97.5151736048038
Time 45s	hr 94.63455808642671
Time 46s	hr 91.0069105339151
Time 47s	hr 89.26996868771036
Time 48s	hr 82.9040718154207
Time 49s	hr 84.74566603330243
Time 50s	hr 87.32091669453685
Time 51s	hr 76.82493061188275
Time 52s	hr 70.12579505120021
Time 53s	hr 63.472119813189046
Time 54s	hr 66.19254491238647
Time 55s	hr 68.12371175222637
Time 56s	hr 68.52635858959549
Time 57s	hr 65.66553718294686
Time 58s	hr 67.00379388678857
Time 59s	hr 63.57191991425856
Time 60s	hr 67.94108425055977
